"","chip","num.on.pwm","piqauc","dgfauc","centipedeauc","piqppv100","piqppv500","piqppv1000","dgfppv100","dgfppv500","dgfppv1000","centipedeppv100","centipedeppv500","centipedeppv1000","piqsens1000","piqsens5000","piqsens10000","dgfsens1000","dgfsens5000","dgfsens10000","centipedesens1000","centipedesens5000","centipedesens10000"
"193","Stat1Ifna30StdPk",164,0.94441835678641,0.807281737724895,0.803827267941384,0.18,0.13,0.093,0.04,0.024,0.02,0.18,0.144,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Stat1Ifna6hStdPk",104,0.882330334306588,0.60576611059849,0.8368307129469,0.01,0.018,0.016,0,0.002,0.004,0.01,0.018,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Stat1Ifng30StdPk",150,0.924561422562686,0.683457827479701,0.858380375383067,0.02,0.04,0.032,0,0.016,0.015,0.02,0.04,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Stat1Ifng6hStdPk",328,0.923581878703307,0.693426324040719,0.903013791244631,0.04,0.048,0.039,0,0.006,0.011,0.04,0.048,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Stat2Ifna30StdPk",165,0.95747329611973,0.737836188075475,0.939897031964674,0.16,0.078,0.056,0,0.008,0.008,0.16,0.078,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Stat2Ifna6hStdPk",282,0.887051670607442,0.647770283879599,0.840463470893644,0.03,0.026,0.022,0,0.008,0.005,0.03,0.026,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Tal1sc12984IggmusPk",1019,0.931759309983191,0.719096065725558,0.452453967102555,0.72,0.692,0.676,0.6,0.578,0.591,0.63,0.206,0.111,0.015,0.0112,0.0111,0.015,0.0106,0.0103,0.003,0.002,0.0021
"200","Tblr1ab24550IggrabPk",487,0.956067099867718,0.908359311478229,0.866368837242221,0.95,0.752,0.75,0.58,0.696,0.741,0.95,0.86,0.776,0.046,0.0522,0.0437,0.05,0.0556,0.0476,0.044,0.053,0.0458
"201","Tblr1nb600270IggrabPk",832,0.961442697346744,0.850789590785107,0.470966700974548,0.98,0.968,0.956,0.7,0.836,0.874,0.66,0.148,0.233,0.077,0.0524,0.0397,0.077,0.0516,0.0391,0.031,0.0222,0.0167
"202","TbpIggmusPk",1746,0.950948245317154,0.690548678631204,0.4489067148663,0.97,0.97,0.964,0.79,0.838,0.865,0.82,0.298,0.158,0.197,0.1808,0.1195,0.189,0.1634,0.1085,0.011,0.016,0.011
"203","Tf3c110StdPk",465,0.928856557691763,0.641269447997088,0.898538123888063,0.02,0.028,0.034,0.01,0.012,0.02,0.02,0.028,0.034,0.196,NA,NA,0.168,NA,NA,0.186,NA,NA
"204","Tr4UcdPk",104,0.958092538439133,0.739211477373758,0.869537331768543,0.01,0.012,0.014,0,0.004,0.006,0.04,0.014,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Ubfsc13125IggmusPk",3450,0.926537946791427,0.641004847333003,0.861152757254495,0.5,0.562,0.541,0.14,0.144,0.159,0.54,0.576,0.551,0.131,0.11,0.1041,0.108,0.085,0.0829,0.129,0.1062,0.1003
"206","Ubtfsab1404509IggmusPk",2863,0.934989413005882,0.674383514661341,0.868457242024391,0.77,0.774,0.712,0.25,0.272,0.307,0.77,0.776,0.709,0.065,0.0534,0.0584,0.068,0.0522,0.0537,0.071,0.059,0.0613
"207","Usf2IggrabPk",1328,0.93481868141517,0.721989703525192,0.871517697791956,0.98,0.916,0.803,0.11,0.152,0.164,0.98,0.906,0.716,0.362,0.161,NA,0.315,0.1244,NA,0.303,0.1144,NA
"208","Xrcc4StdPk",106,0.950267932421424,0.82546182725308,0.990415248434728,0.03,0.044,0.034,0,0,0,0.03,0.044,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Yy1UcdPk",203,0.966116837287932,0.755427667955168,0.825261282001001,0.67,0.496,0.312,0.33,0.296,0.217,0.65,0.362,0.248,0.107,NA,NA,0.088,NA,NA,0.074,NA,NA
"210","Zc3h11anb10074650IggrabPk",404,0.94678948215576,0.89558704943675,0.874535797390917,0.86,0.67,0.654,0.51,0.588,0.639,0.86,0.786,0.684,0.079,0.053,0.0379,0.08,0.0554,0.0406,0.077,0.0544,0.0393
"211","Znf143IggrabPk",799,0.973660823746704,0.811801540191491,0.820962473973407,1,0.944,0.961,0.96,0.952,0.955,1,0.984,0.956,0.65,0.1844,0.0931,0.662,0.1774,0.0898,0.642,0.1732,0.0877
"212","Znf263UcdPk",141,0.812141834155156,0.701374631140844,0.614301882983938,0.12,0.06,0.048,0,0.028,0.03,0.1,0.058,0.048,0.049,NA,NA,0.044,NA,NA,0.045,NA,NA
"213","Znf274m01UcdPk",2114,0.911655297684853,0.740165010172032,0.845747711630805,0.42,0.422,0.394,0.12,0.116,0.088,0.45,0.438,0.401,0.18,0.1546,NA,0.169,0.1392,NA,0.178,0.1498,NA
"214","Znf274UcdPk",560,0.735477519678418,0.547553790866079,0.758112146711559,0,0,0,0,0,0.001,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Znf384hpa004051IggrabPk",1216,0.90995688604133,0.710832174651154,0.469816235626913,0.81,0.754,0.732,0.59,0.6,0.643,0.69,0.29,0.169,0.05,0.035,0.033,0.056,0.0372,0.0315,0.01,0.0082,0.0071
"216","Znfmizdcp1ab65767IggrabPk",1487,0.956802054165643,0.706330365974283,0.450669233360019,0.92,0.938,0.937,0.82,0.82,0.829,0.78,0.262,0.138,0.07,0.0946,0.0882,0.076,0.0838,0.0801,0.012,0.0096,0.0072
"217","Bach1Controlbach1PkRep1",118,0.733447721136991,0.67888555804365,0.776320844228957,0.04,0.012,0.008,0,0,0,0.04,0.012,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Ccne1Controlccne1PkRep2",114,0.770690642588177,0.672394308266347,0.841586947896469,0.01,0.002,0.003,0,0,0,0.01,0.002,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Cdkn1bControlcdkn1bPkRep1",106,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","EfosControlPk",25048,NA,NA,NA,0.95,0.924,0.92,0.54,0.596,0.598,0.95,0.924,0.922,0.193,0.2224,0.2285,0.165,0.1942,0.2009,0.173,0.1976,0.2123
"221","Egata2ControlPk",15475,NA,NA,NA,0.53,0.586,0.572,0.41,0.434,0.433,0.55,0.61,0.584,0.121,0.0972,0.0916,0.111,0.09,0.0886,0.207,0.1664,0.1271
"222","Ehdac8ControlPk",199,0.934617889525442,0.878537146261879,0.859506571033321,0.44,0.33,0.318,0.2,0.236,0.287,0.43,0.4,0.322,0.015,0.0132,0.0178,0.014,0.013,0.0179,0.016,0.0142,0.0179
"223","EjunbControlPk",1173,0.914548392341642,0.702765710427562,0.459799954422309,0.79,0.746,0.698,0.6,0.58,0.599,0.58,0.234,0.13,0.022,0.0252,0.0221,0.018,0.0238,0.0221,0.004,0.0034,0.0033
"224","EjundControlPk",2278,0.898086677001264,0.636199175998624,0.453148993951945,0.78,0.836,0.833,0.73,0.786,0.798,0.8,0.446,0.26,0.01,0.0188,0.0145,0.011,0.0174,0.014,0.004,0.0046,0.0036
"225","Elf1Controlelf1PkRep2",127,0.98092580981582,0.88121788070166,0.410055423201846,0.04,0.028,0.031,0,0.004,0.006,0.02,0.018,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Enr4a1ControlPk",836,0.851861134687853,0.631032117736543,0.72754907594475,0.11,0.14,0.14,0.06,0.048,0.046,0.12,0.15,0.149,0.063,0.06,NA,0.061,0.0546,NA,0.072,0.056,NA
"227","EsrControlesrPkRep1",116,0.680278418794639,0.493058953442574,0.597711334685968,0.1,0.062,0.05,0,0,0,0.1,0.062,0.052,0.02,NA,NA,0.003,NA,NA,0.023,NA,NA
"228","EsrControlesrPkRep2",397,0.721373013547474,0.500221576970382,0.575256299987599,0.03,0.014,0.02,0,0.004,0.003,0.03,0.014,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Ilf2Controlilf2PkRep1",121,0.668391753514968,0.492005559182874,0.499836792393803,0,0.01,0.015,0,0.002,0.001,0,0.012,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Ilf2Controlilf2PkRep2",137,0.680113362588195,0.484194800477874,0.521793204697987,0.09,0.03,0.026,0,0.004,0.002,0.09,0.034,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Mll5Controlmll5PkRep1",125,0.600323367993388,0.50648635430766,0.484892615048491,0.01,0.002,0.005,0,0,0.001,0.01,0.002,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Mll5Controlmll5PkRep2",101,0.613257424823947,0.568485418363263,0.475198182948936,0.03,0.018,0.011,0,0.004,0.002,0.02,0.008,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Ncor1Controlncor1PkRep1",272,NA,NA,NA,0.03,0.012,0.006,0,0,0,0.03,0.012,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Ncor1Controlncor1PkRep2",134,0.814821419366279,0.648150795851066,0.449078300366099,0.19,0.056,0.051,0,0,0,0.07,0.046,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Nf90Controlnf90PkRep1",112,0.678776675337564,0.500387000755621,0.505979284876989,0.02,0.016,0.017,0,0.004,0.002,0.02,0.018,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Nf90Controlnf90PkRep2",186,0.749783941120956,0.615725542260348,0.596040151588572,0.12,0.058,0.062,0.04,0.024,0.026,0.12,0.062,0.056,0.011,0.0084,NA,0.009,0.008,NA,0.009,0.0078,NA
"237","Stat1Controlstat1PkRep1",2298,NA,NA,NA,0.2,0.086,0.063,0,0.008,0.009,0.2,0.086,0.064,0.107,NA,NA,0.11,NA,NA,0.097,NA,NA
"238","Stat1Controlstat1PkRep2",108,0.785386933409771,0.598161771351618,0.677457934442062,0.08,0.04,0.031,0,0.004,0.002,0.09,0.046,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","CtcfStdHotspotsRep1",5335,0.880106084092151,0.675188929994638,0.747353344635075,1,0.994,0.995,0.95,0.952,0.953,1,0.994,0.977,0.007,0.0164,0.0165,0.005,0.0144,0.0161,0.007,0.0144,0.0166
"240","CtcfStdHotspotsRep2",4869,0.878083409298198,0.674834161946025,0.754578351712975,0.98,0.984,0.99,0.92,0.924,0.93,0.99,0.988,0.967,0.011,0.0226,0.022,0.007,0.0198,0.0209,0.01,0.0218,0.0225
"241","CtcfStdPkRep1",1579,0.925372121872941,0.67792059814287,0.842857759632243,0.93,0.894,0.861,0.43,0.524,0.554,0.89,0.636,0.389,0.017,0.0196,0.0199,0.015,0.0196,0.0194,0.009,0.0108,0.0102
"242","CtcfStdPkRep2",1322,0.931819687493977,0.696361604705096,0.865362236152066,0.93,0.874,0.821,0.42,0.496,0.522,0.89,0.618,0.371,0.022,0.028,0.0263,0.02,0.0276,0.0251,0.011,0.0152,0.0129
"243","Atf3",109,0.639365625679672,0.513938205377179,0.538713829850835,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA
"244","Bdp1",105,0.620053484518601,0.520848799333494,0.560780426674891,0,0,0.001,0,0,0,0,0,0.001,0.004,NA,NA,0.002,NA,NA,0.005,NA,NA
"245","bE2f4",232,0.561524786348706,0.505509002564165,0.478308910212235,0,0.02,0.024,0.01,0.008,0.008,0,0,0.004,0,2e-04,2e-04,0.001,4e-04,3e-04,0,0,0
"246","bE2f6",179,0.535535779732454,0.489517019424592,0.470127359354957,0.01,0.012,0.009,0.02,0.01,0.011,0.01,0.004,0.01,0.001,4e-04,6e-04,0.001,4e-04,5e-04,0.001,0.001,6e-04
"247","bGata1",426,0.571680964353324,0.480519365805412,0.511739169937481,0,0,0,0,0.002,0.003,0,0,0,0.001,0.0024,NA,0.003,0.0024,NA,0.002,0.0022,NA
"248","bGata1V2",217,0.580682358874322,0.533898223701021,0.52010854144358,0,0.002,0.004,0,0.004,0.004,0,0.004,0.003,0.01,0.005,NA,0.009,0.0052,NA,0.012,0.0056,NA
"249","bGata2",106,0.575993076327158,0.495084652496792,0.512324518330035,0.01,0.004,0.004,0,0.002,0.003,0,0.008,0.007,0.002,8e-04,4e-04,0.002,6e-04,3e-04,0.001,6e-04,6e-04
"250","Brf1",275,0.613786143030732,0.487235296554425,0.578350195330104,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Brf2",136,0.604103762505408,0.522874004845637,0.543102847058888,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Brg1Musigg",175,0.564742666475862,0.498335884825605,0.52857976767865,0.01,0.006,0.008,0.01,0.014,0.013,0.01,0.016,0.01,0.003,0.001,7e-04,0.002,0.001,9e-04,0.002,0.001,8e-04
"253","bSetdb1Mnase",260,0.557735794403553,0.482089405385194,0.513429517481599,0,0.01,0.008,0,0,0,0,0.008,0.007,0.005,0.0018,NA,0.003,0.0012,NA,0.004,0.0016,NA
"254","bSetdb1",154,0.547412137132391,0.529903807785524,0.533034367562169,0,0.002,0.001,0,0.004,0.005,0,0.002,0.004,0.001,8e-04,4e-04,0.003,0.0014,9e-04,0.003,0.001,7e-04
